evaporation_from_vegetation_transpiration_sum,soil_temperature_level_1,surface_net_solar_radiation_sum,temperature_2m,total_precipitation_sum,ndvi
0,301.2373606,1.73E+07,299.7850819,0,0.294454247
0,300.6702474,1.74E+07,299.7571106,1.28E-06,0.294373606
0,301.6116047,1.69E+07,300.5958335,0,0.294292965
0,302.1137066,1.61E+07,300.924228,1.27E-06,0.294212324
0,302.3381621,1.63E+07,301.1137784,8.67E-07,0.294131683
0,302.1803093,1.67E+07,300.6718572,4.35E-07,0.294051042
0,302.0908038,1.64E+07,300.728049,4.26E-07,0.293970401
0,301.8038692,1.65E+07,300.8178082,4.26E-07,0.29388976
0,302.1192525,1.63E+07,300.8736089,8.52E-07,0.293809119
0,302.5840098,1.56E+07,301.2876644,3.65E-05,0.293728478
0,301.5290343,1.35E+07,299.5060641,0.002861602,0.293647838
0,300.4652386,1.21E+07,298.7055098,0.002231054,0.293567197
0,301.2917945,1.42E+07,299.7098459,4.27E-04,0.293486556
0,300.5575498,1.35E+07,298.3012848,0.002557506,0.293405915
0,300.6865451,1.39E+07,298.7729944,3.83E-04,0.293325274
0,300.895984,1.43E+07,299.1038532,1.25E-04,0.293244633
9.31E-10,301.0704028,1.48E+07,299.3422858,9.58E-06,0.293163992
0,301.339098,1.50E+07,300.0036125,7.08E-08,0.293083351
0,301.1238232,1.46E+07,299.757253,3.61E-04,0.29300271
0,300.6585827,1.52E+07,299.1743253,8.52E-07,0.292922069
0,299.5337283,1.58E+07,297.8377037,4.35E-07,0.292841428
0,298.9329192,1.57E+07,297.1189232,0,0.292760787
0,298.8635063,1.51E+07,297.1425241,2.57E-06,0.292680146
0,299.2249241,1.51E+07,297.2782917,8.52E-07,0.292599505
0,299.168738,1.42E+07,297.196022,0,0.292518865
0,299.2735755,1.49E+07,297.322141,0,0.292438224
0,297.600008,9410599.125,295.5103963,4.62E-04,0.292357583
0,295.9144389,9500275.75,293.0498905,0.004489928,0.292276942
0,296.8970038,1.38E+07,294.8577175,2.12E-05,0.292196301
0,297.6715546,1.42E+07,295.7437356,8.52E-07,0.29211566
0,298.2704976,1.42E+07,297.1141275,0,0.292035019
9.31E-10,298.8823306,1.40E+07,297.062898,8.60E-07,0.291954378
0,298.7347647,1.40E+07,296.9572748,4.41E-07,0.291873737
0,298.3938293,1.35E+07,296.583669,1.94E-06,0.291793096
9.31E-10,298.0304909,1.09E+07,296.4997406,3.52E-04,0.291712455
0,298.2670809,1.34E+07,296.0811456,8.58E-07,0.291631814
0,298.3780028,1.31E+07,296.3483486,1.91E-05,0.291551173
0,298.1654695,1.22E+07,296.007459,2.31E-05,0.291470533
0,298.2149614,1.32E+07,295.8977973,2.96E-06,0.291389892
0,298.1918023,1.34E+07,296.1479855,4.35E-07,0.291309251
0,297.6786435,1.36E+07,295.8383465,1.74E-06,0.29122861
0,296.9198825,1.34E+07,294.2565924,1.29E-06,0.291147969
0,297.1093451,1.32E+07,295.2050114,2.14E-06,0.291067328
0,297.594635,1.31E+07,295.6296043,1.72E-06,0.290986687
0,297.6781883,1.32E+07,295.7031333,0,0.294940898
0,297.6402041,1.22E+07,296.006602,4.35E-07,0.298895109
0,296.5764434,1.34E+07,294.3214575,8.58E-07,0.30284932
0,295.7847977,1.31E+07,293.2179356,0,0.30680353
9.31E-10,296.0156205,1.29E+07,293.4992224,4.26E-07,0.310757741
0,296.2300924,1.28E+07,293.6010882,0,0.314711952
0,296.0835336,1.28E+07,293.7689425,3.01E-06,0.318666163
0,296.1342621,1.21E+07,293.9771353,8.58E-07,0.322620374
9.31E-10,296.2591623,1.26E+07,293.8621305,0,0.326574585
0,296.0401917,1.25E+07,293.8154367,4.26E-07,0.330528796
0,294.9362411,1.20E+07,292.481835,0,0.329803171
0,294.6805827,1.14E+07,292.5611566,4.29E-06,0.329077546
9.31E-10,295.0740585,7069752,293.9616343,3.20E-04,0.328351921
0,296.1431573,8491909.125,295.212527,1.28E-05,0.327626296
0,296.8677972,1.01E+07,295.7566408,1.15E-05,0.326900671
0,297.5937951,1.18E+07,295.8242105,1.72E-06,0.326175045
9.31E-10,297.1818167,1.15E+07,295.7430751,0,0.32544942
0,296.4396528,1.09E+07,294.152249,1.99E-05,0.324723795
0,295.1952756,1.21E+07,292.8416691,0,0.32399817
0,294.2474721,1.19E+07,291.4715722,8.52E-07,0.323272545
9.31E-10,294.3168424,1.17E+07,291.7203306,0,0.32254692
0,294.4968624,9439971.5,292.2613258,7.07E-06,0.321821295
0,294.6886851,1.06E+07,292.1453075,8.69E-07,0.32109567
0,294.1222827,1.15E+07,291.7030722,0,0.320370045
0,294.474884,1.04E+07,292.2556915,7.93E-05,0.31964442
9.31E-10,295.1001854,1.15E+07,292.8405348,6.91E-05,0.318918795
0,294.4432392,8698399.875,292.8281021,0.001557274,0.31819317
9.31E-10,292.7909768,8340943.875,290.0016238,5.12E-05,0.317467545
0,292.026076,8856201.25,289.1112258,1.19E-05,0.31674192
0,291.5404218,1.01E+07,288.7041492,5.49E-07,0.316016295
0,290.1574122,1.20E+07,287.0071265,1.70E-06,0.31529067
9.31E-10,289.6444772,1.21E+07,286.4033852,1.70E-06,0.314565045
0,289.7987938,1.18E+07,287.0252692,0,0.31383942
1.86E-09,289.8566977,1.20E+07,287.6391404,8.58E-07,0.313113795
0,289.2714933,1.21E+07,287.1743323,0,0.31238817
0,289.1469752,1.19E+07,286.7029514,0,0.311662545
0,288.8754686,1.20E+07,286.893418,2.99E-06,0.31093692
0,288.7807713,1.18E+07,286.4517454,4.35E-07,0.310211295
0,289.0762647,1.19E+07,286.6253401,8.52E-07,0.309485669
1.86E-09,288.9643936,1.17E+07,286.6751162,1.56E-06,0.308760044
9.31E-10,288.4985269,1.21E+07,285.9913432,8.52E-07,0.308034419
1.86E-09,288.4996789,1.19E+07,286.2861188,8.52E-07,0.307308794
9.31E-10,289.9137402,1.17E+07,288.2915306,8.52E-07,0.306583169
0,291.2124157,1.16E+07,289.7297916,8.52E-07,0.305857544
9.31E-10,290.8934606,1.20E+07,289.3331381,4.35E-07,0.305131919
0,290.5340964,1.17E+07,288.5124213,0,0.304406294
0,290.848772,1.20E+07,288.6779868,7.82E-08,0.303680669
0,290.2046331,1.16E+07,288.0886129,4.35E-07,0.302955044
0,290.2768758,1.21E+07,288.0920849,0,0.302229419
0,289.8516216,1.23E+07,287.6683216,0,0.301503794
0,290.6250998,1.19E+07,289.1352425,8.52E-07,0.300778169
0,291.7455095,1.20E+07,290.4469337,1.70E-06,0.300052544
0,292.7022711,1.16E+07,291.1368376,3.31E-06,0.299326919
0,293.4282303,1.18E+07,291.655611,6.40E-06,0.298601294
0,292.9306342,1.16E+07,291.159214,1.01E-04,0.297875669
0,291.4038925,1.26E+07,289.2837556,4.35E-07,0.297150044
0,290.6574446,1.26E+07,288.1645463,8.52E-07,0.296424419
0,290.8858337,1.26E+07,288.8005206,0,0.296284373
0,291.2894529,1.27E+07,289.1259136,0,0.296144327
0,292.1174424,1.20E+07,290.0461375,4.18E-06,0.29600428
0,292.1269601,9961418,290.0410671,6.10E-05,0.295864234
0,291.1783606,1.29E+07,288.3918718,8.56E-07,0.295724188
0,289.3998617,1.28E+07,286.1599973,0,0.295584142
0,288.934166,1.17E+07,285.8306789,5.38E-07,0.295444096
0,289.2901573,1.32E+07,286.1608283,1.63E-04,0.29530405
0,287.8418694,5951236.875,285.6981322,0.001745038,0.295164004
0,288.5344289,9866864.375,285.8967253,4.63E-05,0.295023958
0,288.4479847,1.33E+07,285.65452,1.70E-06,0.294883912
0,288.149833,1.36E+07,285.0041148,0,0.294743866
0,288.5974293,1.36E+07,286.165582,1.70E-06,0.29460382
0,289.5558802,1.33E+07,287.3375753,1.19E-06,0.294463774
0,289.561533,1.31E+07,286.8036054,0,0.294323727
0,289.7646586,1.29E+07,287.2800789,2.98E-06,0.294183681
0,290.5017592,1.35E+07,288.3495096,8.52E-07,0.294043635
9.31E-10,291.1876787,1.35E+07,289.1034934,0,0.293903589
9.31E-10,292.030798,1.36E+07,289.9244016,8.52E-07,0.293763543
0,293.6244125,1.33E+07,292.7751013,8.52E-07,0.293623497
0,293.5960846,1.31E+07,292.26308,0,0.293483451
0,292.5728925,1.44E+07,290.3028495,1.72E-06,0.293343405
9.31E-10,290.9976095,1.49E+07,288.1933524,1.72E-06,0.293203359
9.31E-10,290.6753476,1.48E+07,288.4065895,2.58E-06,0.293063313
9.31E-10,290.793623,1.47E+07,287.874012,8.67E-07,0.292923267
0,291.0421664,1.47E+07,288.4250571,4.35E-07,0.292783221
0,291.5861956,1.46E+07,289.5852477,1.78E-04,0.292643175
0,291.4526405,1.08E+07,290.4890836,0.005435609,0.292503128
0,291.9563656,1.30E+07,289.977843,1.57E-04,0.292363082
0,292.2558359,1.48E+07,290.1684729,0,0.292223036
0,292.0989469,1.51E+07,290.3170732,8.52E-07,0.292126896
0,292.5399812,1.50E+07,290.8052953,8.58E-07,0.292030756
1.86E-09,292.6901054,1.57E+07,291.0893453,0,0.291934615
9.31E-10,293.7810516,1.34E+07,292.3392302,6.99E-05,0.291838475
9.31E-10,294.0749747,1.55E+07,292.2161013,0,0.291742335
0,294.0486374,1.49E+07,291.831302,2.75E-05,0.291646194
9.31E-10,293.5001043,1.22E+07,292.0969257,0.001226929,0.291550054
9.31E-10,295.1428229,1.43E+07,294.5233218,8.52E-07,0.291453914
0,297.2867673,1.50E+07,296.9863968,0,0.291357774
0,298.3186022,1.38E+07,298.0790126,8.52E-07,0.291261633
1.86E-09,296.8050257,8485088,295.578584,0.001331584,0.291165493
0,296.0960725,1.57E+07,294.1725324,3.49E-06,0.291069353
0,295.0793794,1.67E+07,292.9152406,1.72E-06,0.290973212
0,294.5621389,1.69E+07,292.3152192,0,0.290877072
9.31E-10,295.1488037,1.66E+07,293.0152893,1.70E-06,0.290780932
9.31E-10,295.7479998,1.67E+07,293.8395786,8.58E-07,0.290684791
9.31E-10,296.3297901,1.62E+07,294.3883444,4.31E-07,0.290588651
0,296.7045657,1.48E+07,294.8478743,1.75E-05,0.290492511
0,297.4252822,1.62E+07,295.1070881,1.44E-05,0.29039637
0,297.6904036,1.56E+07,295.2439969,3.20E-06,0.29030023
0,298.1200568,1.72E+07,295.6576977,1.72E-06,0.29020409
0,298.6724313,1.71E+07,296.4118525,6.60E-06,0.29010795
0,299.6905855,1.73E+07,297.7968572,4.36E-07,0.290011809
0,300.12957,1.73E+07,298.2060566,1.85E-05,0.289915669
